Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Estaba muy rico gracias,"It was very delicious, thanks",[sound:Estaba_muy_rico_gracias_6792c4e5.mp3],,,,basic,greeting,1
Estoy aquí no te suelto,"I'm here, I won't let go",[sound:Estoy_aquí_no_te_suelto_5764de25.mp3],,Acá,,basic,verb,1
Estoy aquí para lo que necesites,I'm here for whatever you need,[sound:Estoy_aquí_para_lo_que_necesites_315ee7dc.mp3],,Acá,,basic,verb,1
Estoy bien tranqui,"I'm good, chill",[sound:Estoy_bien_tranqui_0deb2214.mp3],soften/decline,Todo bien,,basic,verb,1
Estoy caliente,I'm horny/hot,[sound:Estoy_caliente_1e64a20b.mp3],,,,basic,verb,1
Estoy con ganas,I'm in the mood,[sound:Estoy_con_ganas_9390a2c1.mp3],,,,basic,verb,1
Estoy con hambre,I'm hungry,[sound:Estoy_con_hambre_8974399a.mp3],,,,basic,verb,1
Estoy en mis días,I'm on my period,[sound:Estoy_en_mis_días_e228ea26.mp3],,,,basic,verb,1
Estoy enamorada de ti,I'm in love with you (female),[sound:Estoy_enamorada_de_ti_0c732de2.mp3],,,,basic,verb,1
Estoy enamorado de ti,I'm in love with you (male),[sound:Estoy_enamorado_de_ti_1225079d.mp3],,,,basic,verb,1
Estoy estudiando español para poder habl,I'm studying Spanish to be able to speak,[sound:Estoy_estudiando_español_para_poder_habl_afc1b2d4.mp3],,,,basic,verb,1
Estoy llegando,I'm arriving,[sound:Estoy_llegando_05ee90d2.mp3],,,,basic,verb,1
Estoy mamado,I'm exhausted (male slang),[sound:Estoy_mamado_debceef4.mp3],,,,basic,verb,1
Estoy practicando español ahora hasta qu,[I am...],[sound:Estoy_practicando_español_ahora_hasta_qu_14b2dda0.mp3],,,,basic,verb,1
Estoy prendido suave todo bien,[I am...],[sound:Estoy_prendido_suave_todo_bien_18d43e5c.mp3],,Tranqui,,basic,verb,1
Estoy tragado,[I am...],[sound:Estoy_tragado_e143c077.mp3],,,,basic,verb,1
Gracias pero esta vez paso,Thanks...,[sound:Gracias_pero_esta_vez_paso_4dcf40a6.mp3],,,,basic,greeting,1
Gracias por confiar en mí,Thanks...,[sound:Gracias_por_confiar_en_mí_04facba8.mp3],,,,basic,greeting,1
Gracias por cuidarmepor estar pendiente,Thanks...,[sound:Gracias_por_cuidarmepor_estar_pendiente_67f932f1.mp3],,,,basic,greeting,1
Gracias por decirme cómo te sientes,Thanks...,[sound:Gracias_por_decirme_cómo_te_sientes_1fc949f3.mp3],,,,basic,greeting,1
Gracias por existir,Thanks...,[sound:Gracias_por_existir_3a684d6b.mp3],,,,basic,greeting,1
Gracias por todo eres un gran ser humano,Thanks...,[sound:Gracias_por_todo_eres_un_gran_ser_humano_3045d085.mp3],,,,basic,greeting,1
Gracias por tu mensaje tan lindo mi amor,Thanks...,[sound:Gracias_por_tu_mensaje_tan_lindo_mi_amor_455495e5.mp3],,,,basic,greeting,1
Gracias por tu tiempo y tu cariño,Thanks...,[sound:Gracias_por_tu_tiempo_y_tu_cariño_89378a08.mp3],,,,basic,greeting,1
Hola Cómo amaneciste hoy,Hi! How did you wake up today?,[sound:Hola_Cómo_amaneciste_hoy_bd042912.mp3],,,,basic,greeting,1
Hoy estoy cansadito te parece si dejamos,How about we...,[sound:Hoy_estoy_cansadito_te_parece_si_dejamos_63424580.mp3],gentle proposal,,,basic,pattern,1
Hoy estoy tragado de ti,[I am...],[sound:Hoy_estoy_tragado_de_ti_1ae5d578.mp3],,,,basic,verb,1
Hoy no puedo,I can't today,[sound:Hoy_no_puedo_713c870a.mp3],,,,basic,verb,1
Hoy te voy a castigar,[I'm going to...],[sound:Hoy_te_voy_a_castigar_90f09b0b.mp3],,,,basic,pattern,1
La pasé muy bien gracias,Very good...,[sound:La_pasé_muy_bien_gracias_3679ad25.mp3],,,,basic,greeting,1
Lo puedo cambiar si no me queda,[I can...],[sound:Lo_puedo_cambiar_si_no_me_queda_414140b8.mp3],,,,basic,verb,1
Me avisas.,Let me know.,[sound:Me_avisas_6369cbc1.mp3],let me know,,,basic,pattern frame,1
Me cuentas.,Tell me (later).,[sound:Me_cuentas_037bdb5d.mp3],,,,basic,pattern frame,1
Me gusta cómo suena tu español quiero ap,[I want...],[sound:Me_gusta_cómo_suena_tu_español_quiero_ap_0b5b5365.mp3],,,,basic,verb,1
Me lo puedo medir,[I can...],[sound:Me_lo_puedo_medir_1c01b3c4.mp3],,,,basic,verb,1
Me sirve,That works for me,[sound:Me_sirve_5b86b629.mp3],scheduling accept,,,basic,pattern,1
Me sirve cualquier hora.,Any time works for me.,[sound:Me_sirve_cualquier_hora_aceeaf5a.mp3],scheduling accept,,,basic,pattern frame,1
Me sirve mañana.,Tomorrow works for me.,[sound:Me_sirve_mañana_25418d4c.mp3],scheduling accept,,,basic,pattern frame,1
Me sirve {{a las siete}}.,{{Seven}} works for me.,[sound:Me_sirve_a_las_siete_50c4e5fa.mp3],scheduling accept,,,basic,pattern essential frame,1
Me voy a venir,[I'm going to...],[sound:Me_voy_a_venir_96fcafb4.mp3],,,,basic,pattern,1
Me {{toca}} trabajar.,I {{have to}} work.,[sound:Me_toca_trabajar_2f81ad24.mp3],,,,basic,verb colombian,1
Mucho gusto soy Boris,[Mucho gusto soy Boris...],[sound:Mucho_gusto_soy_Boris_3dd21662.mp3],,,,basic,verb,1
No creo que {{venga}}.,I don't think {{he'll come}}.,[sound:No_creo_que_venga_ec8c85f3.mp3],Doubt + subjunctive,,,basic,subjunctive essential,1
No estoy listalisto,[I am...],[sound:No_estoy_listalisto_9cc27835.mp3],,,,basic,verb,1
No me sirve.,That doesn't work for me.,[sound:No_me_sirve_48a765a3.mp3],scheduling accept,,,basic,pattern frame,1
No puedo ahora pero más tarde sí,[I can...],[sound:No_puedo_ahora_pero_más_tarde_sí_651a6624.mp3],,,,basic,verb,1
No puedo dejar de pensar en ti,[I can...],[sound:No_puedo_dejar_de_pensar_en_ti_39cc51e3.mp3],,,,basic,verb,1
No puedo resistirme a ti,[I can...],[sound:No_puedo_resistirme_a_ti_8aa01129.mp3],,,,basic,verb,1
No quiero que te preocupes por mí estoy ,[I am...],[sound:No_quiero_que_te_preocupes_por_mí_estoy__8fb25205.mp3],,,,basic,verb,1
No soy fotógrafo pero puedo imaginarnos ,[I can...],[sound:No_soy_fotógrafo_pero_puedo_imaginarnos__42ad14b2.mp3],,,,basic,verb,1
No soy matemático pero tú  yo  destino,I don't/No...,[sound:No_soy_matemático_pero_tú__yo__destino_8a174579.mp3],informal/intimate,,,basic,verb,1
No tengo sueño,[I have...],[sound:No_tengo_sueño_e5d75f95.mp3],,,,basic,verb,1
No {{hay}} problema.,There's {{no}} problem.,[sound:No_hay_problema_c4814bc9.mp3],,,,basic,verb essential,1
No {{puedo}} hoy.,I {{can't}} today.,[sound:No_puedo_hoy_a9199c6e.mp3],Poder = can/to be able,,,basic,verb essential,1
No {{se vaya}}.,Don't {{leave}}.,[sound:No_se_vaya_3c1512c2.mp3],now/already,,,basic,verb command negative formal,1
No {{te vayas}}.,Don't {{leave}}.,[sound:No_te_vayas_4bde10c3.mp3],now/already,,,basic,verb command negative,1
No {{tengo}} plata.,I don't {{have}} money.,[sound:No_tengo_plata_5bededb4.mp3],Tener = to have,,,basic,verb essential,1
Nueve,nine,[sound:Nueve_bf9499ec.mp3],,,,basic,number,1
O sea mañana.,So tomorrow then.,[sound:O_sea_mañana_4cc040d5.mp3],,,,basic,pattern frame,1
O sea que no.,So that's a no.,[sound:O_sea_que_no_8d9e9628.mp3],,,,basic,pattern frame,1
O sea sí.,So yes then.,[sound:O_sea_sí_338a5deb.mp3],,,,basic,pattern frame,1
O sea {{no vienes}}?,So you mean {{you're not coming}}?,[sound:O_sea_no_vienes_cbf551c0.mp3],Frame: O sea (clarification),,,basic,pattern essential frame,1
Ocho,eight,[sound:Ocho_745ce54f.mp3],,,,basic,number,1
Ojalá {{puedas}} venir.,I hope {{you can}} come.,[sound:Ojalá_puedas_venir_5c20a6bf.mp3],Ojalá + subjunctive,,,basic,subjunctive essential,1
Once,eleven,[sound:Once_e1e5138f.mp3],,,,basic,number,1
Para que {{entiendas}}.,So that {{you understand}}.,[sound:Para_que_entiendas_90cacd20.mp3],Purpose clause subjunctive,,,basic,subjunctive essential,1
Perdón por no responder antes,Sorry...,[sound:Perdón_por_no_responder_antes_bca3ebe6.mp3],,,,basic,greeting,1
Perdón si te hice sentir mal,Sorry...,[sound:Perdón_si_te_hice_sentir_mal_12fdcb46.mp3],,,,basic,greeting,1
Puedo llamarte un momentico,[I can...],[sound:Puedo_llamarte_un_momentico_001cd291.mp3],,,,basic,verb,1
Puedo pagar en cuotas,[I can...],[sound:Puedo_pagar_en_cuotas_de05cdba.mp3],,,,basic,verb,1
Que {{descanses}}.,{{Rest}} well.,[sound:Que_descanses_303a8cb2.mp3],Subjunctive wish,,,basic,subjunctive essential,1
Que {{te vaya}} bien.,Hope {{it goes}} well for you.,[sound:Que_te_vaya_bien_161f7e84.mp3],now/already,,,basic,subjunctive essential,1
Quieres que pase por ti,Do you want me to...,[sound:Quieres_que_pase_por_ti_e3321df0.mp3],,,,basic,pattern,1
Quieres que te lleve una pastica o algo,Do you want me to...,[sound:Quieres_que_te_lleve_una_pastica_o_algo_8e8e11b8.mp3],,,,basic,pattern,1
Quieres que te pida un taxi,Do you want me to...,[sound:Quieres_que_te_pida_un_taxi_0fe4e852.mp3],,,,basic,pattern,1
Quiero algo serio contigo,[I want...],[sound:Quiero_algo_serio_contigo_5cc5fead.mp3],,,,basic,verb,1
Quiero besarte,[I want...],[sound:Quiero_besarte_3ad87c79.mp3],,,,basic,verb,1
Quiero dormir contigo,[I want...],[sound:Quiero_dormir_contigo_43e97bc6.mp3],,,,basic,verb,1
Quiero estar contigo,I want to be with you,[sound:Quiero_estar_contigo_7a731a99.mp3],,,,basic,verb,1
Quiero formar una familia contigo,[I want...],[sound:Quiero_formar_una_familia_contigo_593a54e5.mp3],,,,basic,verb,1
Quiero hacerte el amor,[I want...],[sound:Quiero_hacerte_el_amor_a09c915c.mp3],,,,basic,verb,1
Quiero que estemos bien tú y yo,[I want...],[sound:Quiero_que_estemos_bien_tú_y_yo_593ea1ee.mp3],informal/intimate,,,basic,verb,1
Quiero que estemos bien y nos cuidemos,[I want...],[sound:Quiero_que_estemos_bien_y_nos_cuidemos_2ee5cbdd.mp3],,,,basic,verb,1
Quiero sentirte,[I want...],[sound:Quiero_sentirte_04055248.mp3],,,,basic,verb,1
Quiero un futuro contigo,[I want...],[sound:Quiero_un_futuro_contigo_afde4f3d.mp3],,,,basic,verb,1
Quiero verte pronto,[I want...],[sound:Quiero_verte_pronto_8112e3d8.mp3],,,,basic,verb,1
Quince,fifteen,[sound:Quince_57de4063.mp3],,,,basic,number,1
Qué quieres que te haga,Do you want me to...,[sound:Qué_quieres_que_te_haga_3cbd2143.mp3],,,,basic,pattern,1
Se me acabó la plata.,I ran out of money.,[sound:Se_me_acabó_la_plata_d11df3c2.mp3],ran out on me,,,basic,pattern frame,1
Se me antoja algo dulce,I (accidentally)...,[sound:Se_me_antoja_algo_dulce_dddbdd39.mp3],,,,basic,pattern,1
Se me cayó.,I dropped it (it fell from me).,[sound:Se_me_cayó_9774dc9a.mp3],,,,basic,pattern frame,1
Se me descargó el celular,I (accidentally)...,[sound:Se_me_descargó_el_celular_8124ea28.mp3],died on me,,,basic,pattern,1
Se me descargó el celular.,My phone died (on me).,[sound:Se_me_descargó_el_celular_8124ea28.mp3],died on me,,,basic,pattern frame,1
Se me hizo tarde.,I got late (it happened to me).,[sound:Se_me_hizo_tarde_87a07d62.mp3],got late on me,,,basic,pattern frame,1
Se me pasa el tiempo volando contigo,I (accidentally)...,[sound:Se_me_pasa_el_tiempo_volando_contigo_24445160.mp3],,,,basic,pattern,1
Se me perdieron las llaves.,I lost my keys (they got lost on me).,[sound:Se_me_perdieron_las_llaves_9d41141d.mp3],,,,basic,pattern frame,1
Se me {{olvidó}}.,I {{forgot}}.,[sound:Se_me_olvidó_1a8c2a71.mp3],Frame: Se me + verb (unintentional),,,basic,pattern essential frame,1
Seis,six,[sound:Seis_83dfc813.mp3],,,,basic,number,1
Si necesitas puedo pasar un ratico,[I can...],[sound:Si_necesitas_puedo_pasar_un_ratico_acf8c149.mp3],short while (CO),,,basic,verb,1
Siete,seven,[sound:Siete_14188ac8.mp3],,,,basic,number,1
Sin ti no soy nada,[Sin ti no soy nada],[sound:Sin_ti_no_soy_nada_9a09bcce.mp3],,,,basic,verb,1
Soy todatodo tuyo,[Soy todatodo tuyo],[sound:Soy_todatodo_tuyo_a51752c1.mp3],,,,basic,verb,1
Soy tu paciente favoritofavorita,[Soy tu paciente favoritofavori...],[sound:Soy_tu_paciente_favoritofavorita_e5c73c37.mp3],,,,basic,verb,1
Te aviso.,I'll let you know.,[sound:Te_aviso_5aca0d50.mp3],,,,basic,pattern frame,1
Te escribo cuando llegue,[Te escribo cuando llegue...],[sound:Te_escribo_cuando_llegue_71c3248f.mp3],I'll text you,,,basic,pattern,1
Te escribo cuando vaya saliendo,Already/Now...,[sound:Te_escribo_cuando_vaya_saliendo_d601a14a.mp3],I'll text you,,,basic,pattern,1
Te llamo más tarde.,I'll call you later.,[sound:Te_llamo_más_tarde_8a687e67.mp3],I'll call you,,,basic,pattern frame,1
Te mando la ubicación.,I'll send you the location.,[sound:Te_mando_la_ubicación_f22dc0c9.mp3],,,,basic,pattern frame,1
Te parece si lo planificamos bien y te a,How about we...,[sound:Te_parece_si_lo_planificamos_bien_y_te_a_1fef02e5.mp3],gentle proposal,,,basic,pattern,1
Te parece si nos vemos más tardecito,How about we...,[sound:Te_parece_si_nos_vemos_más_tardecito_0a863255.mp3],gentle proposal,,,basic,pattern,1
Te queda bien a las siete,Does ... work for you?,[sound:Te_queda_bien_a_las_siete_b06b6ec1.mp3],scheduling check,,,basic,pattern,1
Te queda bien por ChapineroEl Pobladoetc,Does ... work for you?,[sound:Te_queda_bien_por_ChapineroEl_Pobladoetc_a4a3757b.mp3],scheduling check,,,basic,pattern,1
Te quiero,I love you (less intense),[sound:Te_quiero_363ae972.mp3],,,,basic,verb,1
Te quiero de desayuno,[I want...],[sound:Te_quiero_de_desayuno_a7aed381.mp3],,,,basic,verb,1
Te quiero mucho,[I want...],[sound:Te_quiero_mucho_7fb2f2a1.mp3],,,,basic,verb,1
Te quiero un montón,[I want...],[sound:Te_quiero_un_montón_bb0ee83d.mp3],,,,basic,verb,1
Te voy a comer a besos,[I'm going to...],[sound:Te_voy_a_comer_a_besos_aedd98b1.mp3],,,,basic,pattern,1
Te {{escribo}} cuando llegue.,I'll {{text}} you when I arrive.,[sound:Te_escribo_cuando_llegue_26967bb4.mp3],Frame: Te + verb (future promise),,,basic,pattern essential frame,1
Tengo cólicos,[I have...],[sound:Tengo_cólicos_59ea4005.mp3],,,,basic,verb,1
Tengo fiebre y la culpa es tuya,[I have...],[sound:Tengo_fiebre_y_la_culpa_es_tuya_dfd7f88b.mp3],now/already,,,basic,verb,1
Tengo ganas de verte cuándo te sirve,[I have...],[sound:Tengo_ganas_de_verte_cuándo_te_sirve_5e6f98f7.mp3],,,,basic,verb,1
Tengo hambre de ti,[I have...],[sound:Tengo_hambre_de_ti_d9fdf238.mp3],,,,basic,verb,1
Tengo hambre pero no de comida,[I have...],[sound:Tengo_hambre_pero_no_de_comida_3e82d5c7.mp3],,,,basic,verb,1
Tengo muchas ganas,[I have...],[sound:Tengo_muchas_ganas_3dec2aba.mp3],,,,basic,verb,1
Tengo muchas ganas de ti,[I have...],[sound:Tengo_muchas_ganas_de_ti_bed19d56.mp3],,,,basic,verb,1
Tengo sed de ti,[I have...],[sound:Tengo_sed_de_ti_e65a33c9.mp3],,,,basic,verb,1
Tengo un juguete nuevo,[I have...],[sound:Tengo_un_juguete_nuevo_72714286.mp3],,,,basic,verb,1
Tengo un problema que solo tú puedes res,[I have...],[sound:Tengo_un_problema_que_solo_tú_puedes_res_fc47d667.mp3],informal/intimate,,,basic,verb,1
Tengo una sorpresa para ti,[I have...],[sound:Tengo_una_sorpresa_para_ti_0873dc9f.mp3],,,,basic,verb,1
Todavía estoy aquí.,I'm still here.,[sound:Todavía_estoy_aquí_fdcec1f1.mp3],still/yet,Acá,,basic,pattern frame,1
Todavía no.,Not yet.,[sound:Todavía_no_a9441395.mp3],still/yet,,,cloze,pattern essential frame,1
Todo bien Estoy pendiente,[I am...],[sound:Todo_bien_Estoy_pendiente_9ccfc3ee.mp3],,Tranqui,,basic,verb,1
Todo bien Estoy pendiente de ti,[I am...],[sound:Todo_bien_Estoy_pendiente_de_ti_6f40d403.mp3],,Tranqui,,basic,verb,1
Trece,thirteen,[sound:Trece_f4aa4a5d.mp3],,,,basic,number,1
Tres,three,[sound:Tres_d7f84850.mp3],,,,basic,number,1
Uno,one,[sound:Uno_f1bce355.mp3],,,,basic,number,1
Vamos a hablar.,Let's talk.,[sound:Vamos_a_hablar_e5a77399.mp3],,¿Te animas a,,basic,pattern frame,1
Vamos a ver.,Let's see / We'll see.,[sound:Vamos_a_ver_49d09909.mp3],,¿Te animas a,,basic,pattern frame,1
Veinte,twenty,[sound:Veinte_1c46323d.mp3],,,,basic,number,1
Voy a desconectarme un rato,[I'm going to...],[sound:Voy_a_desconectarme_un_rato_5ee24459.mp3],,,,basic,pattern,1
Voy a salir.,I'm going out.,[sound:Voy_a_salir_e851fa33.mp3],,,,basic,pattern frame,1
Voy a {{comer}}.,I'm going to {{eat}}.,[sound:Voy_a_comer_60af1263.mp3],Frame: Ir a + infinitive,,,basic,pattern essential frame,1
Voy en cinco,I'm going...,[sound:Voy_en_cinco_ce7642c1.mp3],,,,basic,verb,1
Voy saliendo,I'm going...,[sound:Voy_saliendo_121b73b7.mp3],,,,basic,verb,1
Voy tarde perdón,Sorry...,[sound:Voy_tarde_perdón_8d597732.mp3],,,,basic,greeting,1
Ya casi.,Almost there / Almost done.,[sound:Ya_casi_91d2fe46.mp3],now/already,,,basic,pattern frame,1
Ya entendí.,Now I understand / Got it.,[sound:Ya_entendí_d75a5c06.mp3],now/already,,,basic,pattern frame,1
Ya llegué.,I'm here now / I've arrived.,[sound:Ya_llegué_a792eb4c.mp3],now/already,,,basic,pattern frame,1
Ya no.,Not anymore.,[sound:Ya_no_8d68da93.mp3],now/already,,,basic,pattern frame,1
Ya vengo.,I'll be right back.,[sound:Ya_vengo_b41830e6.mp3],now/already,,,basic,pattern frame,1
Ya voy,I'm coming,[sound:Ya_voy_0bdca0f4.mp3],now/already,,,basic,verb,1
Ya voy en camino,Already/Now...,[sound:Ya_voy_en_camino_6b7f84fe.mp3],now/already,,,basic,verb,1
Ya {{voy}}.,I'm {{coming}} now.,[sound:Ya_voy_b3257f6b.mp3],now/already,,,basic,pattern essential frame,1
Yo tengo condones,[I have...],[sound:Yo_tengo_condones_ce68402c.mp3],,,,basic,verb,1
{{Acabar}} de + inf: Acabo de comer.,I just ate.,[sound:Acabar_de__inf_Acabo_de_comer_9bf5f822.mp3],Recent past pattern,,,basic,grammar pattern,1
{{Dame}} un minuto.,{{Give me}} a minute.,[sound:Dame_un_minuto_332cb562.mp3],Dar = to give,,,basic,verb essential,1
{{Dime}} algo.,{{Tell me}} something.,[sound:Dime_algo_945b42e8.mp3],Decir = to say/tell,,,basic,verb essential,1
{{Estar}} + gerund: Estoy comiendo.,I am eating.,[sound:Estar__gerund_Estoy_comiendo_7e969856.mp3],Progressive tense pattern,,,basic,grammar pattern,1
{{Estar}} por + inf: Estoy por salir.,I'm about to leave.,[sound:Estar_por__inf_Estoy_por_salir_6e2de2da.mp3],Imminent action,,,basic,grammar pattern,1
{{Estoy}} bien.,I {{am}} fine.,[sound:Estoy_bien_b8da3476.mp3],Estar = to be (state),,,basic,verb essential,1
{{Es}} tarde.,It {{is}} late.,[sound:Es_tarde_1d20e611.mp3],,,,basic,verb essential,1
{{Hay}} que + inf: Hay que pagar.,One must pay / We need to pay.,[sound:Hay_que__inf_Hay_que_pagar_92fc3881.mp3],General obligation,,,basic,grammar pattern,1
{{Hay}} que irnos.,We {{have}} to go.,[sound:Hay_que_irnos_53253d36.mp3],Haber = there is/must,,,basic,verb essential,1
{{Ir}} a + inf: Voy a dormir.,I'm going to sleep.,[sound:Ir_a__inf_Voy_a_dormir_8b65b21c.mp3],Future pattern,,,basic,grammar pattern,1
{{La/Lo}} veo mañana.,I'll see {{you}} tomorrow.,[sound:LaLo_veo_mañana_42c14c71.mp3],La/Lo = you (object with usted),,,basic,pronoun formal,1
{{Le}} gusta.,{{You/He/She}} likes it.,[sound:Le_gusta_85affac4.mp3],Le = to you(formal)/him/her,,,basic,pronoun essential,1
{{Me}} gusta.,{{I}} like it.,[sound:Me_gusta_0c9242f9.mp3],Me = to me,,,basic,pronoun essential,1
{{Mira}} esto.,{{Look at}} this.,[sound:Mira_esto_013a4de9.mp3],Informal command,,,basic,verb command,1
{{Nos}} vemos.,{{We}}'ll see each other.,[sound:Nos_vemos_782ca94a.mp3],Nos = us/each other,,,basic,pronoun essential,1
