Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Hacer diligencias,To do errands/tasks,[sound:Hacer_diligencias_placeholder.mp3],"Slightly more formal than 'vueltas' but less common in everyday Colombian speech | Example: ""Mañana tengo que hacer varias diligencias"" = Tomorrow I have to do several errands | Formal/Informal",Hacer trámites,,intermediate,errands,3
Voy a manejar,I'm going to drive,[sound:Voy_a_manejar_placeholder.mp3],"'Manejar' is used in Colombia (not 'conducir' like in Spain) | Example: ""Voy a manejar hasta Medellín"" = I'm going to drive to Medellín | Informal",Voy a conducir,,basic,driving,2
Sabes manejar?,Do you know how to drive?,[sound:Sabes_manejar?_placeholder.mp3],"Common question | Example: ""Sabes manejar carro o solo moto?"" = Do you know how to drive a car or just motorcycle? | Informal",Sabes conducir?,,basic,driving,2
Dónde parqueo?,Where do I park?,[sound:Dónde_parqueo?_placeholder.mp3],"'Parquear' is Colombian Spanish (from English 'to park') | Example: ""¿Dónde parqueo el carro?"" = Where do I park the car? | Informal | Note: Spain uses 'aparcar', but Colombia uses 'parquear'",Dónde puedo parquear?,,basic,parking,2
Busco parqueadero,I'm looking for a parking lot,[sound:Busco_parqueadero_placeholder.mp3],"'Parqueadero' is Colombian word for parking lot | Example: ""¿Hay un parqueadero cerca?"" = Is there a parking lot nearby? | Informal",Dónde hay parqueadero?,,basic,parking,3
El parqueadero está lleno,The parking lot is full,[sound:El_parqueadero_está_lleno_placeholder.mp3],"Common frustration in Colombian cities | Example: ""Toca buscar otro parqueadero, este está lleno"" = We have to find another parking lot, this one is full | Informal",No hay espacio para parquear,,basic,parking,3
Me llegó una fotomulta,I got a traffic camera ticket,[sound:Me_llegó_una_fotomulta_placeholder.mp3],"'Fotomulta' = automated traffic fine using cameras | Common in Bogotá and other cities | Example: ""Me llegó una fotomulta por exceso de velocidad"" = I got a camera ticket for speeding | Informal",Me multaron con cámara,,intermediate,traffic fines,4
Arranquemos,Let's get going / Let's leave,[sound:Arranquemos_placeholder.mp3],"'Arrancar' = to start/to leave | Very common Colombian expression | Example: ""Ya es tarde, arranquemos"" = It's already late, let's get going | Informal",Vámonos ya,,basic,departure,2
Arranca el carro,Start the car,[sound:Arranca_el_carro_placeholder.mp3],"Literal meaning of 'arrancar' (to start engine) | Example: ""Arranca el carro que ya voy saliendo"" = Start the car, I'm coming out now | Informal",Prende el carro,,basic,driving,2
A la orden,At your service,[sound:A_la_orden_placeholder.mp3],"Taxi drivers and service workers use this phrase | Example: Taxi driver shouts ""A la orden!"" to indicate they're available | Very Colombian | Informal/Formal",Para servirle,,basic,taxi service,3
Pilas con el tráfico,Watch out for the traffic / Be careful with traffic,[sound:Pilas_con_el_tráfico_placeholder.mp3],"'Pilas' = be alert/careful | Very Colombian | Example: ""Pilas con el tráfico que está pesado"" = Watch out for the traffic, it's heavy | Informal",Cuidado con el tráfico,,intermediate,traffic warnings,3
El tráfico está pesado,The traffic is heavy,[sound:El_tráfico_está_pesado_placeholder.mp3],"Common way to describe bad traffic | Example: ""Mejor salimos temprano, el tráfico está muy pesado"" = We better leave early, the traffic is very heavy | Informal",Hay mucho tráfico,,basic,traffic,2
La ciclovía,The ciclovía (car-free streets event),[sound:La_ciclovía_placeholder.mp3],"Bogotá's famous Sunday tradition where 120+ km of streets close to cars | Example: ""Vamos a la ciclovía el domingo?"" = Are you going to ciclovía on Sunday? | Informal | Cultural icon",El ciclorruta,,intermediate,bogota culture,3
Nos vemos en la ciclovía,See you at the ciclovía,[sound:Nos_vemos_en_la_ciclovía_placeholder.mp3],"Making plans for Sunday car-free streets event | Example: ""Nos vemos en la ciclovía de la Séptima"" = See you at the ciclovía on Séptima Avenue | Informal | Bogotá-specific",Te veo en la ciclova,,intermediate,bogota plans,3
Me bajo aquí,I'm getting off here,[sound:Me_bajo_aquí_placeholder.mp3],"Used in buses, taxis, or cars | Example: ""Señor, me bajo aquí en el semáforo"" = Sir, I'm getting off here at the traffic light | Informal",Aquí me bajo,,basic,public transport,2
Páreme en el semáforo,Stop me at the traffic light,[sound:Páreme_en_el_semáforo_placeholder.mp3],"Common instruction to taxi/bus driver | Example: ""Páreme en el próximo semáforo por favor"" = Stop me at the next traffic light please | Informal/Formal",Pare en el semáforo,,basic,taxi directions,2
Voy de pasajero,I'm going as a passenger,[sound:Voy_de_pasajero_placeholder.mp3],"Indicating you're not driving | Example: ""Puedo tomar hoy, voy de pasajero"" = I can drink today, I'm going as a passenger | Informal",No voy manejando,,basic,driving,2
Dale gas,Step on it / Give it gas,[sound:Dale_gas_placeholder.mp3],"Telling driver to speed up or go | Example: ""Dale gas que vamos tarde"" = Step on it, we're running late | Very informal",Acelera,,intermediate,driving,3
El pico está terrible,Rush hour is terrible,[sound:El_pico_está_terrible_placeholder.mp3],"'Pico' can refer to peak/rush hour | Example: ""Mejor nos vemos después del pico"" = We better meet after rush hour | Informal | Note: different from 'pico y placa'",La hora pico está horrible,,intermediate,traffic,3
Nos pillaron en Uber,We got caught in an Uber,[sound:Nos_pillaron_en_Uber_placeholder.mp3],"Reference to Uber's legal ambiguity in Colombia | Example: ""Siéntate adelante para que no nos pillen en Uber"" = Sit in front so we don't get caught in an Uber | Informal | Colombian context",Nos agarraron,,intermediate,rideshare issues,4
Coja la Autopista Norte,Take Autopista Norte,[sound:Coja_la_Autopista_Norte_placeholder.mp3],"Directing to major Bogotá highway | 'Coger' = to take (route) | Example: ""Para ir al aeropuerto, coja la Autopista Norte"" = To go to the airport, take Autopista Norte | Informal",Tome la Autopista Norte,,intermediate,directions bogota,3
Por la cicloruta,Via the bike path,[sound:Por_la_cicloruta_placeholder.mp3],"Dedicated bike lanes in Colombian cities | Example: ""Es más rápido ir por la cicloruta"" = It's faster to go via the bike path | Informal",Por el carril de bicis,,intermediate,cycling,3
Voy en bici,I'm going by bike,[sound:Voy_en_bici_placeholder.mp3],"Short for 'bicicleta' | Common in bike-friendly cities | Example: ""No me demoro, voy en bici"" = I won't take long, I'm going by bike | Informal",Voy en bicicleta,,basic,cycling,2
