Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Háblame despacito porfa,Please speak slowly to me,[sound:Háblame_despacito_porfa_cb95a23b.mp3],"Polite request to slow down speech - Essential for language learners | POLITE/CASUAL | Example: 'Háblame despacito porfa, todavía estoy aprendiendo' (Please speak slowly to me, I'm still learning)",,Claro sin problema,basic,requests_offers,3
Junto o separado,Together or separate?,[sound:Junto_o_separado_d9b71252.mp3],"Bill handling question at restaurants - Asking if you want one bill or separate bills | NEUTRAL/FORMAL | Example: 'La cuenta ¿junto o separado?' (The bill, together or separate?)",,Junto porfa,basic,requests_offers,3
La cuenta porfa,The bill please,[sound:La_cuenta_porfa_bbc45ef0.mp3],"Restaurant request for the check - 'Porfa' makes it friendly and polite | CASUAL/POLITE | Example: 'La cuenta porfa cuando puedas' (The bill please when you can)",,Ya se la traigo,basic,requests_offers,3
Me ayudas con algo,Can you help me with something?,[sound:Me_ayudas_con_algo_70f689c0.mp3],"Polite way to ask for help - Very common and friendly | POLITE/CASUAL | Example: '¿Me ayudas con algo? No entiendo esta dirección' (Can you help me with something? I don't understand this address)",,Claro dime,basic,requests_offers,3
Me puedes repetir,Can you repeat that?,[sound:Me_puedes_repetir_abce1708.mp3],"Polite request to repeat information - Essential for language learners | POLITE/NEUTRAL | Example: '¿Me puedes repetir tu número de celular?' (Can you repeat your cell number?)",,Sí claro,basic,requests_offers,3
Me regalas una bolsa,Can you give me a bag?,[sound:Me_regalas_una_bolsa_b8cfc497.mp3],"Polite request using 'regalar' - In Colombia 'regalar' is used for polite requests even when not actually a gift | POLITE/NEUTRAL | Example: '¿Me regalas una bolsa para estas compras?' (Can you give me a bag for these purchases?)",,Sí señor,basic,requests_offers,3
Me repites eso porfa,Can you repeat that please?,[sound:Me_repites_eso_porfa_c58b63e2.mp3],"Casual polite request to repeat - 'Porfa' softens the request | CASUAL/POLITE | Example: 'No escuché bien, ¿me repites eso porfa?' (I didn't hear well, can you repeat that please?)",,Claro te digo,basic,requests_offers,3
Mesa para dos porfa,Table for two please,[sound:Mesa_para_dos_porfa_c87ecf1c.mp3],"Restaurant seating request - Standard phrase when arriving | POLITE/NEUTRAL | Example: 'Buenas noches, mesa para dos porfa' (Good evening, table for two please)",,Sí sígueme,basic,requests_offers,3
Nos trae agua porfa,Can you bring us water please?,[sound:Nos_trae_agua_porfa_10c2e061.mp3],"Casual restaurant request - 'Porfa' is shortened 'por favor', very common in service contexts | CASUAL/POLITE | Example: '¿Nos trae agua porfa mientras miramos el menú?' (Can you bring us water please while we look at the menu?)",,Ya se la traigo,basic,requests_offers,3
Otro jugo/cerveza porfa,Another juice/beer please,[sound:Otro_jugocerveza_porfa_834f520b.mp3],"Request for another drink - Can substitute jugo/cerveza with any beverage | CASUAL/POLITE | Example: 'Este jugo está muy bueno, ¿otro jugo porfa?' (This juice is very good, another juice please?)",,Con gusto,basic,requests_offers,3
Para compartir porfa,To share please,[sound:Para_compartir_porfa_504acff6.mp3],"Restaurant request for shareable portions or plates - Common when ordering appetizers | CASUAL/POLITE | Example: '¿Nos trae unas arepas para compartir porfa?' (Can you bring us some arepas to share please?)",,Claro que sí,basic,requests_offers,3
Para llevar porfa,To go please,[sound:Para_llevar_porfa_86ec709a.mp3],"Takeout request - Specify you want food to take away | CASUAL/POLITE | Example: 'La empanada para llevar porfa' (The empanada to go please)",,Listo te la empaco,basic,requests_offers,3
Preséntame porfa,Introduce me please,[sound:Preséntame_porfa_d503785c.mp3],"Request for introduction - Asking someone to introduce you to another person | CASUAL/POLITE | Example: 'Preséntame porfa a tu hermana' (Introduce me please to your sister)",,Ven te presento,basic,requests_offers,3
Pásame la toalla porfa,Pass me the towel please,[sound:Pásame_la_toalla_porfa_618d3a5e.mp3],"Request to pass an object - Can substitute toalla with any object | CASUAL/POLITE | Example: '¿Pásame la toalla porfa? Está en el baño' (Pass me the towel please? It's in the bathroom)",,Ahí te la paso,basic,requests_offers,3
Quieres,Do you want?,[sound:Quieres_441eb542.mp3],"Short offer question - Often followed by a noun or verb | CASUAL/INFORMAL | Example: '¿Quieres café?' (Do you want coffee?)",,Sí porfa,basic,requests_offers,3
Quieres agua o algo de comer,Do you want water or something to eat?,[sound:Quieres_agua_o_algo_de_comer_db64c9f1.mp3],"Hospitality offer - Common when someone visits your home | FRIENDLY/CASUAL | Example: '¿Quieres agua o algo de comer? Tengo arepas' (Do you want water or something to eat? I have arepas)",,Un agua porfa,basic,requests_offers,3
Quieres agua o algo suave,Do you want water or a soft drink?,[sound:Quieres_agua_o_algo_suave_e41f4274.mp3],"Drink offer - 'Algo suave' means non-alcoholic drink in Colombian Spanish | FRIENDLY/CASUAL | Example: '¿Quieres agua o algo suave? Tengo gaseosa' (Do you want water or a soft drink? I have soda)",,Algo suave porfa,basic,requests_offers,3
Quieres pasar,Do you want to come in?,[sound:Quieres_pasar_9a877c67.mp3],"Invitation to enter - Polite offer to let someone come inside | POLITE/FRIENDLY | Example: '¿Quieres pasar? Hace mucho calor afuera' (Do you want to come in? It's very hot outside)",,Sí gracias,basic,requests_offers,3
Quieres salir conmigo,Do you want to go out with me?,[sound:Quieres_salir_conmigo_699a6cc1.mp3],"Dating invitation - Can be romantic or friendly depending on context and tone | CASUAL/ROMANTIC | Example: '¿Quieres salir conmigo este fin de semana?' (Do you want to go out with me this weekend?)",,Me encantaría,basic,requests_offers,3
Quieres ser mi novia,Do you want to be my girlfriend?,[sound:Quieres_ser_mi_novia_04e53ee7.mp3],"Romantic relationship proposal - Direct way to ask someone to be your girlfriend | ROMANTIC/SERIOUS | Example: 'Me gustas mucho, ¿quieres ser mi novia?' (I like you a lot, do you want to be my girlfriend?)",,Sí quiero,basic,requests_offers,3
Qué quieres pedir,What do you want to order?,[sound:Qué_quieres_pedir_816d3c0c.mp3],"Restaurant question - Asking what someone wants to order from the menu | CASUAL/NEUTRAL | Example: '¿Qué quieres pedir? Yo voy a pedir bandeja paisa' (What do you want to order? I'm going to order bandeja paisa)",,Voy a pedir sancocho,basic,requests_offers,3
Qué quieres tomar,What do you want to drink?,[sound:Qué_quieres_tomar_f724aa7d.mp3],"Beverage question - Asking what someone wants to drink | CASUAL/NEUTRAL | Example: '¿Qué quieres tomar? Tengo jugo de lulo' (What do you want to drink? I have lulo juice)",,Un tinto porfa,basic,requests_offers,3
Si digo algo raro corrígeme porfa,If I say something weird correct me please,[sound:Si_digo_algo_raro_corrígeme_porfa_b249624a.mp3],"Language learner's request - Asking for corrections when speaking | POLITE/HUMBLE | Example: 'Si digo algo raro corrígeme porfa, estoy aprendiendo español' (If I say something weird correct me please, I'm learning Spanish)",,Claro con gusto,basic,requests_offers,3
Sin azúcar porfa,Without sugar please,[sound:Sin_azúcar_porfa_567c4b20.mp3],"Dietary preference request - Requesting no sugar in drinks | POLITE/CASUAL | Example: 'Un tinto sin azúcar porfa' (A coffee without sugar please)",,Listo sin azúcar,basic,requests_offers,3
Sin cebolla porfa,Without onion please,[sound:Sin_cebolla_porfa_99dfaf5b.mp3],"Food preference request - Can substitute cebolla with any ingredient | POLITE/CASUAL | Example: 'La hamburguesa sin cebolla porfa' (The hamburger without onion please)",,Okay sin cebolla,basic,requests_offers,3
Tienes efectivo,Do you have cash?,[sound:Tienes_efectivo_2a5442f9.mp3],"Payment method question - Asking if someone has physical money | NEUTRAL/CASUAL | Example: '¿Tienes efectivo? Aquí no aceptan tarjeta' (Do you have cash? They don't accept card here)",,Sí tengo,basic,requests_offers,3
Toma agüita y descansa porfa,Drink some water and rest please,[sound:Toma_agüita_y_descansa_porfa_a6a92390.mp3],"Caring suggestion - 'Agüita' is diminutive showing affection, used when someone is tired/sick | CARING/AFFECTIONATE | Example: 'Te ves cansado, toma agüita y descansa porfa' (You look tired, drink some water and rest please)",,Gracias eres muy amable,basic,requests_offers,3
Un segundo porfa,One second please,[sound:Un_segundo_porfa_32a4892f.mp3],"Polite request to wait - Asking for a brief moment | POLITE/CASUAL | Example: 'Un segundo porfa, ya termino esta llamada' (One second please, I'm finishing this call)",,Tranquilo sin afán,basic,requests_offers,3
