Spanish,English,Enhanced_Notes
Apenas pueda.,As soon as I can.,"""Apenas"" = as soon as. Triggers subjunctive mood. Promise of future notification.

Formality: Neutral

Regional: Universal but common in Colombian communication patterns.

Example: ""¿Cuándo sabes los resultados? - Apenas pueda te llamo y te cuento."" = When will you know results? - As soon as I can I'll call and tell you.

Grammar: ""Apenas"" + subjunctive verb (pueda)

Cultural note: Colombians value keeping each other informed."
Apenas sepa te aviso.,As soon as I know I'll let you know.,"""Apenas"" + subjunctive. Conditional future promise.

Formality: Neutral

Regional: Universal

Example: ""¿Cuándo me avisas? - Apenas sepa te aviso, todavía no sé nada."" = When will you let me know? - As soon as I know I'll tell you, I don't know anything yet.

Grammar: ""Apenas"" + subjunctive ""sepa"" (from saber)

Cultural note: Shows consideration and commitment to communication."
Apenas tenga tiempo.,As soon as I have time.,"""Apenas"" conditional structure with time reference.

Formality: Neutral

Regional: Universal

Example: ""Estoy ocupado ahora. Apenas tenga tiempo te llamo."" = I'm busy now. As soon as I have time I'll call you.

Cultural note: Polite way to defer but show intention. Maintains relationship while setting boundary.

Grammar: ""Apenas"" + subjunctive ""tenga"" (from tener)"
Apenas {{llegue}} te llamo.,As soon as I {{arrive}} I'll call you.,"Frame template showing ""apenas"" + subjunctive pattern.

Formality: Neutral

Regional: Universal

Example: ""Apenas termine la reunión te llamo y hablamos."" = As soon as I finish meeting I'll call and we'll talk.

Grammar: Apenas + subjunctive (llegue from llegar) + future action

Cultural note: Common promise structure in Colombian communication.

Master this: Critical pattern for coordinating and making commitments."
Buenas noches preciosa cómo estuvo tu dí,"Good night beautiful, how was your day?","Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Buenas noches preciosa cómo estuvo tu dí"" = Good night beautiful, how was your day?

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Bueno me voy entonces,"Well, I'm leaving then","Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Bueno me voy entonces"" = Well, I'm leaving then

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Buenos días mi amor cómo amaneciste,"Good morning my love, how did you wake up?","Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Buenos días mi amor cómo amaneciste"" = Good morning my love, how did you wake up?

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Buenos días preciosa Dormiste bien,"Good morning beautiful, did you sleep well?","Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Buenos días preciosa Dormiste bien"" = Good morning beautiful, did you sleep well?

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Catorce,fourteen,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Catorce"" = fourteen

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Cero,zero,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Cero"" = zero

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Cinco,five,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Cinco"" = five

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Como {{tú}} digas.,As {{you}} say.,"informal/intimate

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Como {{tú}} digas."" = As {{you}} say.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Como {{usted}} diga.,As {{you}} say.,"formal/affectionate

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Como {{usted}} diga."" = As {{you}} say.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Cuando {{llegues}} me avisas.,When {{you arrive}} let me know.,"let me know

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Cuando {{llegues}} me avisas."" = When {{you arrive}} let me know.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Cuatro,four,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Cuatro"" = four

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Dame{{lo}}.,Give {{it}} to me.,"Lo attached to command

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Dame{{lo}}."" = Give {{it}} to me.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
De pronto más tarde.,Maybe later.,"maybe/soften

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""De pronto más tarde."" = Maybe later.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
De pronto no puedo.,I might not be able to.,"maybe/soften

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""De pronto no puedo."" = I might not be able to.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
De pronto sí.,Maybe yes.,"maybe/soften

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""De pronto sí."" = Maybe yes.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
De pronto {{llueve}}.,It might {{rain}}.,"maybe/soften

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""De pronto {{llueve}}."" = It might {{rain}}.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Descansa yo estoy aquí para ti,"Rest, I'm here for you","Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Descansa yo estoy aquí para ti"" = Rest, I'm here for you

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Diez,ten,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Diez"" = ten

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Diga{{me}}.,Tell {{me}}.,"Me attached to command

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Diga{{me}}."" = Tell {{me}}.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Doce,twelve,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Doce"" = twelve

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Dos,two,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Dos"" = two

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Es mejor que {{te quedes}}.,It's better that {{you stay}}.,"Impersonal + subjunctive

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Es mejor que {{te quedes}}."" = It's better that {{you stay}}.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estaba muy rico gracias,"It was very delicious, thanks","Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estaba muy rico gracias"" = It was very delicious, thanks

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy aquí no te suelto,"I'm here, I won't let go","Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy aquí no te suelto"" = I'm here, I won't let go

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy aquí para lo que necesites,I'm here for whatever you need,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy aquí para lo que necesites"" = I'm here for whatever you need

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy bien tranqui,"I'm good, chill","soften/decline

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy bien tranqui"" = I'm good, chill

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy caliente,I'm horny/hot,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy caliente"" = I'm horny/hot

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy con ganas,I'm in the mood,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy con ganas"" = I'm in the mood

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy con hambre,I'm hungry,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy con hambre"" = I'm hungry

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy en mis días,I'm on my period,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy en mis días"" = I'm on my period

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy enamorada de ti,I'm in love with you (female),"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy enamorada de ti"" = I'm in love with you (female)

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy enamorado de ti,I'm in love with you (male),"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy enamorado de ti"" = I'm in love with you (male)

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy estudiando español para poder habl,I'm studying Spanish to be able to speak,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy estudiando español para poder habl"" = I'm studying Spanish to be able to speak

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy llegando,I'm arriving,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy llegando"" = I'm arriving

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Estoy mamado,I'm exhausted (male slang),"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Estoy mamado"" = I'm exhausted (male slang)

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Hola Cómo amaneciste hoy,Hi! How did you wake up today?,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Hola Cómo amaneciste hoy"" = Hi! How did you wake up today?

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Hoy no puedo,I can't today,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Hoy no puedo"" = I can't today

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Me avisas.,Let me know.,"let me know

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Me avisas."" = Let me know.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Me cuentas.,Tell me (later).,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Me cuentas."" = Tell me (later).

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Me sirve,That works for me,"scheduling accept

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Me sirve"" = That works for me

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Me sirve cualquier hora.,Any time works for me.,"scheduling accept

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Me sirve cualquier hora."" = Any time works for me.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Me sirve mañana.,Tomorrow works for me.,"scheduling accept

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Me sirve mañana."" = Tomorrow works for me.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Me sirve {{a las siete}}.,{{Seven}} works for me.,"scheduling accept

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Me sirve {{a las siete}}."" = {{Seven}} works for me.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Me {{toca}} trabajar.,I {{have to}} work.,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Me {{toca}} trabajar."" = I {{have to}} work.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
No creo que {{venga}}.,I don't think {{he'll come}}.,"Doubt + subjunctive

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""No creo que {{venga}}."" = I don't think {{he'll come}}.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
No me sirve.,That doesn't work for me.,"scheduling accept

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""No me sirve."" = That doesn't work for me.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
No {{hay}} problema.,There's {{no}} problem.,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""No {{hay}} problema."" = There's {{no}} problem.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
No {{puedo}} hoy.,I {{can't}} today.,"Poder = can/to be able

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""No {{puedo}} hoy."" = I {{can't}} today.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
No {{se vaya}}.,Don't {{leave}}.,"now/already

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""No {{se vaya}}."" = Don't {{leave}}.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
No {{te vayas}}.,Don't {{leave}}.,"now/already

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""No {{te vayas}}."" = Don't {{leave}}.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
No {{tengo}} plata.,I don't {{have}} money.,"Tener = to have

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""No {{tengo}} plata."" = I don't {{have}} money.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Nueve,nine,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Nueve"" = nine

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
O sea mañana.,So tomorrow then.,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""O sea mañana."" = So tomorrow then.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
O sea que no.,So that's a no.,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""O sea que no."" = So that's a no.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
O sea sí.,So yes then.,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""O sea sí."" = So yes then.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
O sea {{no vienes}}?,So you mean {{you're not coming}}?,"Frame: O sea (clarification)

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""O sea {{no vienes}}?"" = So you mean {{you're not coming}}?

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Ocho,eight,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Ocho"" = eight

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Ojalá {{puedas}} venir.,I hope {{you can}} come.,"Ojalá + subjunctive

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Ojalá {{puedas}} venir."" = I hope {{you can}} come.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Once,eleven,"Colombian Spanish expression

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Once"" = eleven

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Para que {{entiendas}}.,So that {{you understand}}.,"Purpose clause subjunctive

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Para que {{entiendas}}."" = So that {{you understand}}.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
Que {{descanses}}.,{{Rest}} well.,"Subjunctive wish

Formality: Context dependent

Regional: Colombian Spanish usage

Example: ""Que {{descanses}}."" = {{Rest}} well.

Cultural note: Common expression in Colombian daily conversation. Used in both formal and informal settings depending on context.

Usage tip: Pay attention to tone and context for appropriate use."
