Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
"Tengo chucha","I have body odor (armpit odor)","","Colombian slang for body odor, especially from armpits. Informal but commonly understood.","Tengo mal olor","Necesitas bañarte, amigo.","phrase","hygiene,body,slang","intermediate"
"Pedro tiene pecueca","Pedro has stinky feet","","Colombian term for foot odor. Used with 'tener'. Informal and often humorous.","Pedro tiene los pies apestosos","¡Qué pecueca! Quítate los zapatos afuera.","phrase","hygiene,body,slang","intermediate"
"Me duele la barriga","My belly/tummy hurts","","Informal term for stomach/belly. More colloquial than 'estómago'. Common with children.","Me duele el estómago, Me duele la panza","¿Comiste mucho? ¿Qué te duele?","phrase","health,body,pain","beginner"
"Tengo dolor de espalda","I have back pain","","Common pain complaint. 'Espalda' is back.","Me duele la espalda","Deberías ir al fisioterapeuta.","phrase","health,body,pain","intermediate"
"Me duele el oído","My ear hurts","","Ear pain expression. 'Oído' is ear (inner ear). Also 'oreja' for outer ear.","Tengo dolor de oído","Puede ser una infección, ve al médico.","phrase","health,body,pain","beginner"
"Tengo dolor de muela","I have a toothache","","Tooth pain expression. 'Muela' is molar/tooth.","Me duele la muela, Me duele un diente","Necesitas ir al odontólogo.","phrase","health,body,pain","intermediate"
"Hacer del uno","To pee / Go number one","","Euphemistic way to say urinate. Like English 'number one'. Family-friendly.","Orinar, Hacer pipí","Voy a hacer del uno rapidito.","phrase","hygiene,bathroom,euphemism","beginner"
"Hacer del dos","To poop / Go number two","","Euphemistic way to say defecate. Like English 'number two'. Family-friendly.","Defecar, Hacer popó","Voy a hacer del dos, ya vuelvo.","phrase","hygiene,bathroom,euphemism","beginner"
"Tengo guayabo","I have a hangover","","Colombian slang for hangover. Very common after drinking alcohol.","Tengo resaca, Tengo cruda (Mexico)","¡Ay! Toma agua y descansa.","phrase","health,slang,symptoms","intermediate"
"Me siento fatal","I feel terrible/awful","","Strong expression of feeling very unwell. More intense than 'me siento mal'.","Me siento muy mal, Me siento pésimo","¿Qué te pasó? ¿Necesitas ayuda?","phrase","health,feelings","intermediate"
"Estoy indispuesto/indispuesta","I'm indisposed/unwell (formal)","","Formal, elegant way to say you're sick. More polite than 'enfermo'.","Estoy enfermo/a, No me siento bien","Entiendo, descansa y mejórate.","phrase","health,illness,formal","advanced"
"¿Qué te pasó?","What happened to you? / What's wrong?","","Common way to ask what's wrong with someone who looks unwell.","¿Qué te pasa? ¿Estás bien?","Nada grave, solo un poco cansado.","phrase","health,questions,concern","beginner"
"¿Cómo te sientes?","How do you feel?","","Standard way to ask about someone's wellbeing or health condition.","¿Cómo estás? ¿Cómo sigues?","Me siento un poco mejor, gracias.","phrase","health,questions,concern","beginner"
"Voy a vomitar","I'm going to vomit/throw up","","Direct expression for needing to vomit. Also 'voy a devolver' in some regions.","Tengo ganas de vomitar, Voy a devolver","¡Rápido! Ve al baño.","phrase","health,symptoms,urgent","intermediate"
"Tengo escalofríos","I have chills","","Symptom of fever or illness. 'Escalofríos' means chills/shivers.","Tengo frío, Estoy temblando","Abrígate bien y toma algo caliente.","phrase","health,symptoms","intermediate"
"Me salió un moretón","I got a bruise","","'Moretón' is bruise. Common injury vocabulary.","Me salió un morado, Tengo un morado","¿Te golpeaste? ¿Cómo te pasó?","phrase","health,body,injuries","intermediate"
"Me corté","I cut myself","","Simple past tense of 'cortarse'. Common injury expression.","Me hice un corte","¿Necesitas una curita? ¿Sangra mucho?","phrase","health,injuries","beginner"
"Necesito una curita","I need a band-aid","","'Curita' is band-aid in many Latin American countries. Diminutive of 'cura' (cure).","Necesito una venda, Necesito un apósito","Tengo en el botiquín, espera.","phrase","health,hygiene,first-aid","beginner"
"Tengo alergia","I have an allergy","","Allergy expression. Important for medical situations.","Soy alérgico/a a...","¿A qué eres alérgico?","phrase","health,medical,allergies","intermediate"
"Estoy embarazada","I'm pregnant","","Important health/medical state. 'Embarazada' is pregnant (false friend for English speakers).","Estoy en embarazo, Voy a tener un bebé","¡Felicitaciones! ¿De cuánto tiempo?","phrase","health,medical","intermediate"
"Me picó un mosquito","A mosquito bit me","","Common complaint. 'Picar' means to sting/bite for insects.","Me picó un zancudo (more common in Colombia)","¿Te pusiste repelente? Ten cuidado.","phrase","health,body,injuries","intermediate"
