Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Me encanta salir a tomar,I love going out for drinks,,"'Salir a tomar' = to go out drinking. Common Colombian activity. Example: Me encanta salir a tomar con mis parceros los viernes = I love going out for drinks with my friends on Fridays",Informal | Social,Me gusta ir a tomar,,statement,activities drinking social,2
¿Jugamos fútbol el sábado?,Should we play soccer on Saturday?,,"Standard invitation. Football/soccer is huge in Colombia. Example: ¿Jugamos fútbol el sábado en la cancha del barrio? = Should we play soccer Saturday at the neighborhood field?",Neutral | Sports,¿Hacemos un partido?,,question,activities sports soccer,2
Voy al gym todos los días,I go to the gym every day,,"'Gym' used in Colombia (English loan). Fitness culture growing in cities. Example: Voy al gym todos los días después del trabajo = I go to the gym every day after work",Neutral | Fitness,Voy al gimnasio,,statement,activities fitness health,2
Me gusta cocinar en casa,I like cooking at home,,"Standard expression. Colombian home cooking culture. Example: Me gusta cocinar en casa los domingos para la familia = I like cooking at home on Sundays for the family",Neutral | Hobbies,Me encanta cocinar en casa,,statement,activities cooking hobbies,1
Salimos a comer el domingo,We're going out to eat on Sunday,,"'Salir a comer' = to go out to eat. Common family/social activity. Example: Salimos a comer el domingo al restaurante de comida típica = We're going out to eat Sunday at the traditional food restaurant",Neutral | Social,Vamos a comer afuera,,statement,activities dining social,2
¿Vamos al cine esta noche?,Should we go to the movies tonight?,,"Standard invitation. 'Cine' = cinema/movies. Common date/friend activity. Example: ¿Vamos al cine esta noche a ver la nueva película? = Should we go to the movies tonight to see the new film?",Neutral | Entertainment,¿Vemos una película?,,question,activities entertainment date,1
Estoy leyendo un libro bacano,I'm reading a cool book,,"'Bacano' = cool (Colombian slang from Bogotá/Cachaco region). Common for describing enjoyable things. Example: Estoy leyendo un libro bacano sobre historia colombiana = I'm reading a cool book about Colombian history",Informal | Colombian slang,Estoy leyendo un libro chévere,,statement,activities reading hobbies,2
Me gusta montar en bici los domingos,I like riding my bike on Sundays,,"Cycling is huge in Colombia (national sport for many). 'Montar en bici' = ride bike. Example: Me gusta montar en bici los domingos por la Ciclovía = I like riding my bike on Sundays on the Ciclovía (car-free streets)",Neutral | Colombian culture,Me encanta ir en bicicleta,,statement,activities cycling sports colombian-culture,2
Voy a clase de yoga,I'm going to yoga class,,"Wellness trend in Colombian cities. Standard expression. Example: Voy a clase de yoga todas las mañanas antes del trabajo = I'm going to yoga class every morning before work",Neutral | Wellness,Tengo yoga,,statement,activities fitness wellness,2
¿Nos echamos un tinto?,Should we grab a coffee? / Want to get a coffee?,,"'Tinto' = black coffee (Colombian). 'Echarse un tinto' = grab coffee. Very Colombian. Example: ¿Nos echamos un tinto en la tarde para charlar? = Should we grab a coffee in the afternoon to chat?",Informal | Colombian culture,¿Tomamos un café?,,question,activities coffee colombian-culture social,3
Vamos a hacer vaca para la salida,Let's pool money for the trip,,"'Hacer vaca' = to pool money together (Colombian slang). Common for group activities. Example: Vamos a hacer vaca para la salida a Santa Marta = Let's pool money for the trip to Santa Marta",Informal | Colombian slang,Pongamos plata entre todos,,phrase,activities money planning slang,3
¿Qué chimba de concierto!,What an awesome concert!,,"'Chimba' = awesome/cool (Colombian, slightly vulgar but common). Used among friends. Example: ¡Qué chimba de concierto estuvo anoche! = What an awesome concert last night was!",Informal | Colombian slang,¡Qué concierto tan bueno!,,exclamation,activities entertainment slang,3
Me quedo en casa a descansar,I'm staying home to rest,,"Self-care expression. Common after busy week. Example: Este fin de semana me quedo en casa a descansar, estoy muy cansado = This weekend I'm staying home to rest, I'm very tired",Neutral | Relaxation,Me quedo en casa descansando,,statement,activities relaxation home,1
¿Salimos a caminar?,Should we go for a walk?,,"Simple invitation. Walking culture in Colombian parks. Example: ¿Salimos a caminar por el parque después de comer? = Should we go for a walk through the park after eating?",Neutral | Activity,¿Vamos a caminar?,,question,activities exercise social,1
Toca estudiar toda la noche,We have to study all night / I need to pull an all-nighter,,"'Toca' = it's necessary/we have to (Colombian). Common student struggle. Example: Toca estudiar toda la noche para el final de mañana = We have to study all night for tomorrow's final",Informal | Student,Hay que estudiar toda la noche,,phrase,study deadline pressure,2
¿Me pasas los apuntes?,Can you pass me the notes? / Can you share your notes?,,"Common student request. 'Apuntes' = class notes. Example: ¿Me pasas los apuntes de la clase de ayer? No pude ir = Can you pass me yesterday's class notes? I couldn't go",Neutral | Student,¿Me prestas los apuntes?,,question,study collaboration,2
Tengo clase hasta las cinco,I have class until five,,"Standard schedule information. Example: Tengo clase hasta las cinco, después nos vemos = I have class until five, we'll meet after",Neutral | Student,Las clases terminan a las cinco,,statement,study schedule,1
El profe es muy exigente,The teacher is very demanding / strict,,"'Profe' = teacher/professor (informal). 'Exigente' = demanding. Common student complaint. Example: El profe de química es muy exigente, siempre pide mucha tarea = The chemistry teacher is very demanding, he always asks for lots of homework",Informal | Student,El profesor es muy estricto,,statement,study teacher,2
¡Uy, qué pereza trabajar!,Ugh, I don't feel like working! / What a drag to work!,,"'Qué pereza' = what laziness/drag (Colombian expression). Very common complaint. Example: ¡Uy, qué pereza trabajar los lunes! = Ugh, I don't feel like working on Mondays!",Informal | Colombian idiom,¡No tengo ganas de trabajar!,,exclamation,work laziness slang,3
Paila con el trabajo,We're screwed with work / Too bad about work,,"'Paila' = screwed/too bad (Colombian slang). Expresses resignation. Example: Paila con el trabajo, nos toca quedarnos hasta tarde = We're screwed with work, we have to stay late",Informal | Colombian slang,Nos fue mal con el trabajo,,phrase,work problems slang,3
¿Nos vemos en el parche?,Should we meet up with the group? / See you with the crew?,,"'Parche' = group of friends/crew (Colombian). Different from 'parchar'. Example: ¿Nos vemos en el parche del sábado? = Should we meet up with the group on Saturday?",Informal | Colombian slang,¿Nos vemos con el grupo?,,question,activities friends slang,3
Me encanta ir al estadio,I love going to the stadium,,"Football culture. 'Estadio' = stadium. Passionate Colombian fans. Example: Me encanta ir al estadio a ver jugar al Nacional = I love going to the stadium to watch Nacional play",Neutral | Sports culture,Me fascina ir al estadio,,statement,activities sports colombian-culture,2
Voy a aprender inglés,I'm going to learn English,,"Common goal in Colombia. Example: Voy a aprender inglés este año para mejorar en el trabajo = I'm going to learn English this year to improve at work",Neutral | Education,Quiero aprender inglés,,statement,study goals learning,1
Estoy en un curso de cocina,I'm in a cooking class / I'm taking a cooking course,,"Growing hobby in Colombian cities. Example: Estoy en un curso de cocina italiana los miércoles = I'm in an Italian cooking class on Wednesdays",Neutral | Education,Estoy tomando clases de cocina,,statement,activities education cooking,2
¿Cuándo es el deadline?,When is the deadline?,,"'Deadline' used in Colombian offices (English loan). Example: ¿Cuándo es el deadline del proyecto? = When is the project deadline?",Neutral | Office,¿Cuál es la fecha límite?,,question,work deadline,2
Tengo que hacer home office,I have to work from home / do home office,,"'Home office' used in Colombia (English loan). Post-pandemic common. Example: Mañana tengo que hacer home office porque viene el plomero = Tomorrow I have to work from home because the plumber is coming",Neutral | Modern work,Tengo que trabajar desde casa,,statement,work remote,2
Me ascendieron en el trabajo,I got promoted at work,,"'Ascender' = to promote. Good news to share. Example: ¡Me ascendieron en el trabajo! Ahora soy gerente = I got promoted at work! Now I'm a manager",Neutral | Career,Me dieron un ascenso,,statement,work success career,2
Voy a renunciar,I'm going to quit / I'm going to resign,,"'Renunciar' = to quit/resign. Big decision. Example: Voy a renunciar el próximo mes, ya conseguí otro trabajo = I'm going to quit next month, I already got another job",Neutral | Career,Voy a dejar el trabajo,,statement,work decision career,2
¿A qué te dedicas?,What do you do? / What do you do for work?,,"Standard question when meeting someone. 'Dedicarse a' = to work as/dedicate yourself to. Example: ¿A qué te dedicas? - Soy ingeniero de sistemas = What do you do? - I'm a systems engineer",Formal | Introduction,¿En qué trabajas?,,question,work introduction,1
Trabajo en marketing digital,I work in digital marketing,,"Professional introduction. Example: Trabajo en marketing digital para una empresa de tecnología = I work in digital marketing for a tech company",Neutral | Career,Soy de marketing digital,,statement,work profession,1
¿Tienes que madrugar mañana?,Do you have to wake up early tomorrow?,,"'Madrugar' = to wake up early. Common question when planning evening activities. Example: ¿Tienes que madrugar mañana o podemos quedarnos hasta tarde? = Do you have to wake up early tomorrow or can we stay out late?",Informal | Planning,¿Tienes que levantarte temprano?,,question,work time-planning daily,2
Me levanto a las seis,I wake up at six / I get up at six,,"Daily routine. Example: Me levanto a las seis para hacer ejercicio antes del trabajo = I wake up at six to exercise before work",Neutral | Routine,Me despierto a las seis,,statement,daily routine work,1
