Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Con quién vienes,Who are you coming with? / Who did you come with?,[sound:Con_quién_vienes_a5bbc4d5.mp3],Question about companion. 'Venir' can be present or recent past in Colombian Spanish. Example: '¿Con quién vienes a la fiesta?' (Who are you coming to the party with?),Asking about companion,,basic,general,3
Convénceme,Convince me,[sound:Convénceme_f78ad6ec.mp3],Imperative challenge to persuade. Can be playful or serious. Example: 'Convénceme de que vale la pena ir' (Convince me it's worth going),Challenge to persuade,,basic,general,3
Creo que necesito terapia intensiva,I think I need intensive therapy / I think I need ICU,[sound:Creo_que_necesito_terapia_intensiva_33308c94.mp3],"Humorous/dramatic expression when overwhelmed. 'Terapia intensiva' = ICU, used metaphorically. Example after stressful day or intense attraction. 'Después de esa rumba creo que necesito terapia intensiva'",Humorous overwhelm expression,,basic,general,3
Cuarenta,Forty / 40,[sound:Cuarenta_f793d4b4.mp3],The number 40. Example: 'Tengo cuarenta años' (I'm forty years old),Number 40,,basic,general,3
Cuarto,Quarter / Room / Fourth,[sound:Cuarto_6e8da25b.mp3],Multiple meanings: 1) Room/bedroom ('Mi cuarto está limpio') 2) Quarter 1/4 ('Un cuarto de pizza') 3) Fourth/4th ('El cuarto piso'). Context determines meaning.,Room | Quarter | Fourth,,basic,general,3
Cuarto para las cuatro,Quarter to four / 3:45,[sound:Cuarto_para_las_cuatro_da5bbc30.mp3],"Time expression. 'Cuarto para' = quarter to. Example: 'Es cuarto para las cuatro, apurémonos' (It's quarter to four, let's hurry)",Time: quarter to the hour,,basic,general,3
Cuidado con los carros,Watch out for the cars / Be careful with the cars,[sound:Cuidado_con_los_carros_e1e2eaf2.mp3],"Traffic warning. Colombian traffic can be chaotic, especially in Bogotá, Cali. Example: 'Cuidado con los carros cuando cruces la calle' (Watch out for cars when you cross the street)",Traffic safety warning,,basic,general,3
Cuánto falta,How much is left? / How much longer?,[sound:Cuánto_falta_6c274e5a.mp3],Question about remaining time/distance/quantity. Example: '¿Cuánto falta para llegar?' (How much longer until we arrive?),Asking about remaining amount,,basic,general,3
Código rojo,Code red / Red alert,[sound:Código_rojo_9499c56c.mp3],Emergency situation. From medical/military terminology. Used seriously or humorously. Example: '¡Código rojo! Se acabó la cerveza en la fiesta' (Code red! The beer ran out at the party),Emergency alert | Serious or humorous,,basic,general,3
Cómo así,How so? / What do you mean? / How come?,[sound:Cómo_así_5e07043f.mp3],Very common Colombian expression asking for explanation/clarification. Example: '¿Cómo así que no vienes? Te estaba esperando' (What do you mean you're not coming? I was waiting for you),Colombian: asking for clarification,,basic,general,3
Cómo se dice esto bien en Colombia,How do you say this properly in Colombia?,[sound:Cómo_se_dice_esto_bien_en_Colombia_7da89f41.mp3],Question about Colombian Spanish usage. Shows cultural awareness of regional differences. Used by language learners. Example: '¿Cómo se dice esto bien en Colombia? Quiero hablar como ustedes',Asking about local Colombian usage,,basic,general,3
Cómo va tu día,How's your day going?,[sound:Cómo_va_tu_día_1eac0e27.mp3],"Friendly check-in question. More specific than '¿cómo estás?'. Example: 'Hola amor, ¿cómo va tu día? Ya almorzaste?' (Hi love, how's your day? Have you had lunch yet?)",Check-in about someone's day,,basic,general,3
Cómo va tu noche,How's your night going?,[sound:Cómo_va_tu_noche_e6430328.mp3],Evening/night check-in. Common in nightlife context. Example: '¿Cómo va tu noche? ¿La estás pasando bien?' (How's your night? Are you having a good time?),Evening/nightlife check-in,,basic,general,3
Da la vuelta,Turn around / Go around / Make a U-turn,[sound:Da_la_vuelta_28ffe492.mp3],Direction instruction. Can mean turn around (physically) or U-turn (driving). Example: 'Da la vuelta en la esquina' (Turn around at the corner) or 'Da la vuelta al edificio' (Go around the building),Turn around | U-turn | Go around,,basic,general,3
Dame cinco minutos,Give me five minutes,[sound:Dame_cinco_minutos_bc0a8871.mp3],Request for brief wait. Colombian 'five minutes' can be... flexible! Often means 10-15 minutes. Example: 'Dame cinco minutos y salgo' (Give me five minutes and I'll come out),Brief wait request | Often longer!,,basic,general,3
Dame de beber,Give me something to drink,[sound:Dame_de_beber_53c44deb.mp3],"Request for a drink. 'De beber' = infinitive form (to drink). Example: 'Tengo sed, dame de beber algo frío' (I'm thirsty, give me something cold to drink)",Request for beverage,,basic,general,3
Dame más,Give me more,[sound:Dame_más_a4ac8cb8.mp3],"Request for additional quantity. Can be food, drink, or metaphorical. Example: 'Esta comida está deliciosa, dame más' (This food is delicious, give me more)",Request for more of something,,basic,general,3
Dame tu diagnóstico,Give me your diagnosis,[sound:Dame_tu_diagnóstico_6951594d.mp3],"Asking for someone's opinion/assessment. Can be literal (medical) or metaphorical. Example: 'Dame tu diagnóstico de la situación, qué opinas?' (Give me your take on the situation, what do you think?)",Ask for opinion/assessment,,basic,general,3
De verdad,Really? / Seriously? / For real? / Truly,[sound:De_verdad_70f9affc.mp3],Expression of surprise OR emphasis. As question: '¿De verdad?' (Really?). As statement: 'De verdad te amo' (I truly love you). Very common.,Surprise question or emphasis,,basic,general,3
Debe ser ilegal ser tan lindalindo,It should be illegal to be so beautiful/handsome,[sound:Debe_ser_ilegal_ser_tan_lindalindo_36d79a44.mp3],"Flirtatious compliment. Playful exaggeration common in Colombian flirting. Example: 'Debe ser ilegal ser tan linda, deberían arrestarte por robar corazones' (It should be illegal to be so beautiful, they should arrest you for stealing hearts)",Flirtatious exaggeration compliment,,basic,general,3
Deberían prohibirte,They should ban you / You should be prohibited,[sound:Deberían_prohibirte_43ecc11c.mp3],Flirtatious expression meaning dangerously attractive. Example: 'Deberían prohibirte salir así de hermosa' (They should ban you from going out looking so gorgeous),Flirty: dangerously attractive,,basic,general,3
Demuéstrame,Show me / Prove it to me / Demonstrate to me,[sound:Demuéstrame_b27011c4.mp3],"Challenge to demonstrate or prove. Can be playful or serious. Example: 'Dices que cocinas bien, demuéstrame' (You say you cook well, show me) or romantic: 'Demuéstrame que me quieres' (Show me you love me)",Challenge to prove/demonstrate,,basic,general,3
Desde que llegaste todo es más bonito,"Since you arrived, everything is more beautiful",[sound:Desde_que_llegaste_todo_es_más_bonito_aae8ad94.mp3],"Romantic expression about someone's positive impact. Colombian poetic style. Example: 'Desde que llegaste todo es más bonito, mi vida cambió completamente' (Since you arrived everything is more beautiful, my life changed completely)",Romantic: positive impact statement,,basic,general,3
Desenvolvemos el regalo,Let's unwrap the gift / We unwrap the present,[sound:Desenvolvemos_el_regalo_354cc6b7.mp3],Action of opening wrapped gift. 'Desenvolver' = unwrap. Example: 'Desenvolvemos el regalo todos juntos para ver qué es' (Let's all unwrap the gift together to see what it is),Gift unwrapping action,,basic,general,3
Detrás de,Behind,[sound:Detrás_de_1dc5f9be.mp3],Preposition indicating position. Example: 'Está detrás de la puerta' (It's behind the door) or 'Camina detrás de mí' (Walk behind me),Positional preposition: behind,,basic,general,3
Devuélvete,Come back / Turn back / Return,[sound:Devuélvete_88013c05.mp3],"Imperative to return. Colombian use of reflexive 'devolverse'. Example: '¡Devuélvete, te olvidaste las llaves!' (Come back, you forgot your keys!)",Colombian: come back/return,,basic,general,3
Di mi nombre,Say my name,[sound:Di_mi_nombre_69d6ebdd.mp3],"Imperative request. Can be intimate/romantic or about recognition. Example (romantic): 'Di mi nombre, quiero escucharlo de tus labios' (Say my name, I want to hear it from your lips)",Say my name | Can be intimate,,basic,general,3
DiablaDiablo,Devil / She-devil / He-devil (attractive troublemaker),[sound:DiablaDiablo_38c96553.mp3],"Slang for someone mischievous, seductive, wild. Often complimentary in flirting. Example: 'Esa diabla me tiene loco' (That she-devil has me crazy) means irresistibly tempting.",Mischievous/seductive person | Often complimentary,,basic,general,3
Diez mil,"Ten thousand / 10,000",[sound:Diez_mil_fbacc1fc.mp3],"10,000. With pesos, ~$2.50 USD (2025). Example: 'El pasaje del bus cuesta diez mil pesos' (The bus fare costs 10k pesos)","10,000 | Bus fare range",,basic,general,3
Disfrutemos el momento,Let's enjoy the moment,[sound:Disfrutemos_el_momento_c19b5915.mp3],"Invitation to be present and enjoy now. Colombian emphasis on living in the moment. Example: 'No pienses en mañana, disfrutemos el momento' (Don't think about tomorrow, let's enjoy the moment)",Live in the moment | Enjoy now,,basic,general,3
Doble,Double / Turn (direction),[sound:Doble_03fe77a4.mp3],Two meanings: 1) Double amount ('Dame doble porción') 2) Turn left/right driving ('Doble a la derecha'). Context determines meaning.,Double amount | Turn direction,,basic,general,3
Dos mil,"Two thousand / 2,000",[sound:Dos_mil_8cce4e9a.mp3],"2,000. With pesos, ~$0.50 USD (2025). Very small amount. Example: 'Te debo dos mil pesos del bus' (I owe you 2k pesos from the bus)","2,000 | Very small amount",,basic,general,3
Doscientos,Two hundred / 200,[sound:Doscientos_66ec9f14.mp3],"The number 200. Example: 'Doscientos mil pesos' (200,000 pesos - about $50 USD in 2025)",Number 200,,basic,general,3
Durmamos juntos,Let's sleep together,[sound:Durmamos_juntos_c3e76744.mp3],"Suggestion to sleep in same space. Can be innocent (share accommodation) or romantic/sexual. Context matters. Example: 'Hace frío, durmamos juntos para calentarnos' (It's cold, let's sleep together to warm up)",Sleep together | Context determines meaning,,basic,general,3
Dámelo todo,Give me everything / Give it all to me,[sound:Dámelo_todo_861e7279.mp3],"Request for everything/the whole thing. Can be literal (food, object) or figurative/passionate. Example: 'Dámelo todo, no me dejes con ganas' (Give me everything, don't leave me wanting)",Give everything | Literal or passionate,,basic,general,3
Déjame probarte,Let me try you / Let me taste you,[sound:Déjame_probarte_83dc62a6.mp3],Can mean taste (food: 'Déjame probarte este plato') or intimate/sensual context. 'Probar' = try/taste. Meaning depends on context.,Taste/try | Can be sensual,,basic,general,3
El año pasado,Last year,[sound:El_año_pasado_e796b239.mp3],Time reference to previous year. Example: 'El año pasado viajé a Cartagena' (Last year I traveled to Cartagena),Previous year time reference,,basic,general,3
El cielo está de luto porque perdió una ,The sky is in mourning because it lost a star,[sound:El_cielo_está_de_luto_porque_perdió_una__f22931fa.mp3],Romantic/cheesy pickup line. Implies person is so beautiful they're the star that fell from heaven. Common in Colombian flirting culture despite being cliché.,Cheesy romantic pickup line,,basic,general,3
El descanso se hace en la pista,You rest on the dance floor / Rest happens while dancing,[sound:El_descanso_se_hace_en_la_pista_abd925f0.mp3],Colombian party culture saying: real rest happens dancing (ironic). Party mentality - don't stop even when tired. Response to someone saying they're tired at rumba.,Party culture: don't stop dancing,,basic,general,3
El mar está fuerte mejor acá bajito,"The sea is rough, better stay in the shallow area / The ocean is rough, better here in the shallow",[sound:El_mar_está_fuerte_mejor_acá_bajito_0e7b0cbe.mp3],"Beach safety advice. 'Fuerte' = strong/rough waves. 'Bajito' = shallow area. Example: 'El mar está fuerte mejor acá bajito con los niños' (The sea is rough, better here in the shallow with the kids)",Aquí,,basic,general,3
El mejor descanso es rumbear más,The best rest is to party more,[sound:El_mejor_descanso_es_rumbear_más_3635104e.mp3],Colombian party philosophy: cure tiredness by partying harder. 'Rumbear' = Colombian slang for partying. Humorous/ironic party saying.,Party philosophy | Humorous,,basic,general,3
El mes que viene,Next month,[sound:El_mes_que_viene_28e70e54.mp3],Future time reference. Example: 'El mes que viene es mi cumpleaños' (Next month is my birthday),Next month time reference,,basic,general,3
El show debe continuar,The show must go on,[sound:El_show_debe_continuar_f5f28f22.mp3],"English phrase used in Spanish. Means persevere despite difficulties. Example: 'Aunque haya problemas, el show debe continuar' (Even though there are problems, the show must go on)",Persevere despite difficulties,,basic,general,3
Emergencia en mi cuarto,Emergency in my room,[sound:Emergencia_en_mi_cuarto_24a1346e.mp3],"Humorous/playful way to invite someone to your room. Can be genuine emergency or flirtatious code. Example: 'Tengo una emergencia en mi cuarto, solo tú puedes ayudarme' (I have an emergency in my room, only you can help me)",Playful room invitation | Can be flirty,,basic,general,3
En serio,Seriously / For real / Really,[sound:En_serio_6f83e02a.mp3],Expression of seriousness or seeking confirmation. Example: '¿En serio?' (Seriously?) or 'En serio te lo digo' (I'm telling you seriously),Serious emphasis or confirmation,,basic,general,3
En un momentico,In a little moment / In just a sec,[sound:En_un_momentico_3ce58c5a.mp3],Colombian diminutive of 'momento'. Means very soon/shortly. Colombian time can be flexible - 'momentico' can be 5-30 minutes! Example: 'Estoy listo en un momentico',Colombian: in a moment (flexible time),,basic,general,3
Entonces qué,So what? / So what's up? / What then?,[sound:Entonces_qué_5fb71a60.mp3],Multiple uses: 1) Asking what's the plan ('¿Entonces qué? ¿Vamos?') 2) Challenging 'so what?'. Context/tone determines meaning.,So what | What's the plan,,basic,general,3
Entra,Come in / Enter,[sound:Entra_cf85cd0b.mp3],"Imperative invitation to enter. Example: 'Entra, la puerta está abierta' (Come in, the door is open) or 'Entra y ponte cómodo' (Come in and make yourself comfortable)",Invitation to enter,,basic,general,3
Envíame la ubicación,Send me the location / Send me your location,[sound:Envíame_la_ubicación_c6dda0a4.mp3],Request for GPS location/address. Very common with WhatsApp usage in Colombia. Example: 'Envíame la ubicación del restaurante por WhatsApp' (Send me the restaurant location via WhatsApp),Request for GPS location/address,,basic,general,3
Eres como el agua,You're like water,[sound:Eres_como_el_agua_2700355b.mp3],"Often part of 'Eres como el agua para el chocolate' (like water for chocolate - reference to novel, means someone who makes you boil/passionate). Or: 'Eres como el agua que necesito para vivir' (You're like the water I need to live)",Romantic metaphor | Essential like water,,basic,general,3
Eres como el aguardiente me subes direct,"You're like aguardiente, you go straight to my head",[sound:Eres_como_el_aguardiente_me_subes_direct_befbef88.mp3],Flirtatious comparison to strong Colombian alcohol. 'Me subes directo' = you go straight to my head/you intoxicate me quickly. Example: 'Eres como el aguardiente me subes directo y me pones loco',Flirty: intoxicating like aguardiente,,basic,general,3
Eres demasiado bacana,You're too cool / You're really awesome,[sound:Eres_demasiado_bacana_736fdfad.mp3],"Colombian slang compliment. 'Bacana' = cool/awesome. 'Demasiado' = too much (positive). Example: 'Eres demasiado bacana, me caes súper bien' (You're really awesome, I really like you)",Colombian compliment: really cool,,basic,general,3
Eres demasiado para mí,You're too much for me,[sound:Eres_demasiado_para_mí_860d6bfb.mp3],"Can mean: 1) You're out of my league 2) You're overwhelming (positive/admiring). Example: 'Eres demasiado para mí, no merezco tanta belleza' (You're too much for me, I don't deserve such beauty)",Out of my league | Overwhelming (positive),,basic,general,3
Eres el diablo,You're the devil,[sound:Eres_el_diablo_4afa9508.mp3],"Flirtatious/playful accusation. Means tempting, mischievous, irresistible. Usually positive in romantic context. Example: 'Eres el diablo, me tienes completamente tentado' (You're the devil, you have me completely tempted)",Tempting/irresistible | Usually positive,,basic,general,3
Eres especial para mí,You're special to me,[sound:Eres_especial_para_mí_f3cc1396.mp3],"Affectionate declaration of importance. Example: 'Eres especial para mí, nunca lo olvides' (You're special to me, never forget it)",Affectionate: you're important to me,,basic,general,3
Eres ilegal,You're illegal,[sound:Eres_ilegal_a833f6d6.mp3],"Flirtatious slang meaning 'too good to be true' or 'so attractive it should be illegal'. Example: 'Eres ilegal, deberían arrestarte por ser tan hermosa' (You're illegal, they should arrest you for being so beautiful)",Flirty: too good to be true,,basic,general,3
Eres la razón por la que el café colombi,You're the reason Colombian coffee is so good,[sound:Eres_la_razón_por_la_que_el_café_colombi_2d50359e.mp3],Poetic/humorous compliment connecting person to Colombia's famous coffee. Implies they're the essence of Colombian greatness. Cheesy but sweet pickup line.,Romantic: essence of Colombian greatness,,basic,general,3
Eres lo mejor que me ha pasado,You're the best thing that's happened to me,[sound:Eres_lo_mejor_que_me_ha_pasado_a1149a80.mp3],"Deep romantic declaration. Statement of how important someone is. Example: 'Eres lo mejor que me ha pasado en la vida, gracias por existir' (You're the best thing that's happened to me in life, thanks for existing)",Deep romantic declaration,,basic,general,3
Eres medicina para mí,You're medicine for me,[sound:Eres_medicina_para_mí_4bd4aae1.mp3],"Metaphor meaning someone heals/helps you. Romantic or friendly. Example: 'Eres medicina para mí, siempre me haces sentir mejor' (You're medicine for me, you always make me feel better)",Healing/helpful metaphor,,basic,general,3
Eres mi paz y mi alegría,You're my peace and my joy,[sound:Eres_mi_paz_y_mi_alegría_86e38b91.mp3],"Deep affectionate expression. Someone brings both calm and happiness. Example: 'Eres mi paz y mi alegría, no sé qué haría sin ti' (You're my peace and my joy, I don't know what I'd do without you)",Deep affection: peace and joy,,basic,general,3
Eres mi plato favorito,You're my favorite dish,[sound:Eres_mi_plato_favorito_13cb02a3.mp3],"Flirtatious food metaphor. Colombian culture loves food, so comparing to favorite dish is high compliment. Can be sensual. Example: 'Eres mi plato favorito, te comería todo el día' (You're my favorite dish, I'd eat you all day)",Flirty food metaphor | Can be sensual,,basic,general,3
Eres mi postre favorito,You're my favorite dessert,[sound:Eres_mi_postre_favorito_c4d25e48.mp3],"Sweet/flirtatious food metaphor. Implies sweet, delicious, a treat. Example: 'Eres mi postre favorito, siempre te guardo para el final' (You're my favorite dessert, I always save you for last)",Sweet flirty metaphor,,basic,general,3
Eres más dulce que el arequipe,You're sweeter than arequipe,[sound:Eres_más_dulce_que_el_arequipe_b098a02f.mp3],"Compliment comparing to arequipe (Colombian dulce de leche/caramel). Arequipe is very sweet, so high compliment. Example: 'Eres más dulce que el arequipe, me encantas' (You're sweeter than arequipe, I love you)",Sweet compliment | Arequipe reference,,basic,general,3
Eres míomía,You're mine,[sound:Eres_míomía_1dc99106.mp3],Possessive romantic declaration. Shows exclusivity/commitment. Example: 'Eres mía y de nadie más' (You're mine and nobody else's). Can be sweet or intense.,Possessive romantic statement,,basic,general,3
Eres una diosadios,You're a goddess/god,[sound:Eres_una_diosadios_4f6a0842.mp3],"High compliment comparing to deity. Implies extraordinary beauty/perfection. Example: 'Eres una diosa, nunca he visto alguien tan hermosa' (You're a goddess, I've never seen anyone so beautiful)",High compliment: godlike beauty,,basic,general,3
Eres una tentación,You're a temptation,[sound:Eres_una_tentación_b4cc88be.mp3],"Flirtatious statement implying irresistibly attractive. Example: 'Eres una tentación, no puedo resistirme a ti' (You're a temptation, I can't resist you)",Flirty: irresistibly attractive,,basic,general,3
Eres únicoúnica,You're unique,[sound:Eres_únicoúnica_51633736.mp3],"Compliment about being one-of-a-kind/special. Example: 'Eres única, no hay nadie como tú en el mundo' (You're unique, there's nobody like you in the world)",One-of-a-kind compliment,,basic,general,3
Es complicado,It's complicated,[sound:Es_complicado_71e59535.mp3],Statement about complex situation. Often relationship status. Example: '¿Estás soltero?' - 'Es complicado' (Are you single? - It's complicated),Complex situation | Often relationships,,basic,general,3
Es una invitación,It's an invitation,[sound:Es_una_invitación_549a4b5f.mp3],"Clarifying something is an invitation. Can be direct or suggestive. Example: 'Es una invitación a mi casa, ¿aceptas?' (It's an invitation to my house, do you accept?)",Clarifying invitation | Can be suggestive,,basic,general,3
Eso es todo,That's all / That's it / That's everything,[sound:Eso_es_todo_e199f1b5.mp3],"Statement of completion or finality. Example: 'Eso es todo, no hay más' (That's all, there's no more) or 'Eso es todo lo que necesito' (That's all I need)",That's all | Completion statement,,basic,general,3
Eso fue una recocha,That was a blast / That was wild fun,[sound:Eso_fue_una_recocha_af6ae82e.mp3],"Colombian slang. 'Recocha' = wild fun, playful chaos, great time. Example: 'Esa fiesta fue una recocha, nos divertimos muchísimo' (That party was a blast, we had so much fun)",Colombian: that was wild fun,,basic,general,3
Esperemos un poco,Let's wait a bit / Let's hold on a moment,[sound:Esperemos_un_poco_b5c8f556.mp3],Suggestion to wait. 'Un poco' = a bit/a little while. Example: 'Esperemos un poco a ver si llega' (Let's wait a bit to see if they arrive),Suggestion to wait briefly,,basic,general,3
Espérame,Wait for me,[sound:Espérame_1f2a1f2e.mp3],Imperative request to wait. Example: '¡Espérame! Voy detrás de ti' (Wait for me! I'm coming behind you) or 'Espérame un segundo' (Wait for me a second),Request to wait,,basic,general,3
Estudiamos anatomía,Let's study anatomy / We study anatomy,[sound:Estudiamos_anatomía_8d0b5258.mp3],Can be literal (medical/biology study) or flirtatious euphemism for physical exploration. Example (flirty): 'Estudiamos anatomía esta noche?' means exploring each other's bodies.,Literal study | Can be flirty euphemism,,basic,general,3
